PRODUCT,High sulphur fuel oil (tonne),Low sulphur fuel oil (tonne),Light fuel oil (1000 litres),Automotive diesel (litre),Premium unleaded 98 RON (litre),Premium unleaded 95 RON (litre),Regular unleaded gasoline (litre),Premium leaded gasoline (litre),Regular leaded gasoline (litre),Liquefied petroleum gas (litre),Natural gas (MWh),Steam coal (tonne),Coking coal (tonne),Electricity (MWh)
TIME
2002,x,x,45588.50,82.77,x,..,104.19,x,x,63.50,11704.30,x,x,21830.00
2003,x,x,47823.50,84.51,x,..,106.32,x,x,65.10,11911.35,x,x,22601.25
2004,x,x,51463.25,88.06,x,..,112.32,x,x,64.94,11818.66,x,x,22282.05
2005,x,x,63814.89,100.27,x,..,124.50,x,x,67.65,11791.57,x,x,21830.55
2006,x,x,79566.49,113.00,x,..,137.52,x,x,75.70,12394.67,x,x,21762.30
2007,x,x,79399.48,118.91,x,..,139.83,x,x,79.31,12523.90,x,x,21823.20
2008,x,x,106108.09,140.47,x,..,156.89,x,x,95.53,..,x,x,22365.00
2009,x,x,66682.91,103.53,x,..,120.20,x,x,77.05,12672.00,x,x,22365.31
2010,x,x,76262.50,112.77,x,..,132.93,x,x,83.25,12473.00,x,x,21392.90
2011,x,x,90507.83,126.03,x,..,145.78,x,x,..,13201.00,x,x,21874.36
2012,x,x,91701.18,127.24,x,..,146.89,x,x,..,13539.00,x,x,23192.43
2013,x,x,98930.25,135.20,x,..,155.97,x,x,96.23,14259.00,x,x,24814.54
2014,x,x,105197.00,141.92,x,..,162.92,x,x,102.60,15147.00,x,x,26808.00
2015,x,x,82110.25,117.03,x,..,137.63,x,x,87.25,13752.00,x,x,27239.49
2016,x,x,64174.20,102.00,x,..,120.60,x,x,78.47,11817.00,x,x,24295.14
2017,x,x,78055.52,112.20,x,..,133.50,x,x,89.13,12046.00,x,x,25415.19
2018,x,x,91847.45,128.40,x,..,149.72,x,x,91.78,12969.00,x,x,26388.92
2019,x,x,90909.90,126.88,x,..,146.03,x,x,94.64,12754.00,x,x,27646.16
2020,x,x,82595.63,116.88,x,..,136.18,x,x,86.77,11720.00,x,x,27247.17
2021,x,x,95478.35,134.90,x,..,154.82,x,x,101.72,12856.00,x,x,26364.72
1Q1978,x,x,36110.00,57.30,x,..,105.00,x,x,..,..,..,x,..
2Q1978,x,x,35000.00,57.30,x,..,101.00,x,x,..,..,..,x,..
3Q1978,x,x,35000.00,56.30,x,..,98.00,x,x,..,..,..,x,..
4Q1978,x,x,35000.00,56.30,x,..,94.00,x,x,..,..,..,x,..
1Q1979,x,x,33890.00,55.30,x,..,94.00,x,x,..,..,..,x,..
2Q1979,x,x,35000.00,64.30,x,..,109.00,x,x,..,..,..,x,..
3Q1979,x,x,52220.00,85.30,x,..,135.00,x,x,..,..,..,x,..
4Q1979,x,x,60000.00,88.30,x,..,137.00,x,x,..,..,..,x,..
1Q1980,x,x,74280.00,103.30,x,..,151.00,x,x,..,..,..,x,..
2Q1980,x,x,83330.00,107.30,x,..,155.00,x,x,..,..,..,x,..
3Q1980,x,x,80000.00,102.30,x,..,145.00,x,x,..,..,..,x,..
4Q1980,x,x,78170.00,100.30,x,..,141.00,x,x,..,..,..,x,..
1Q1981,x,x,75170.00,99.30,x,..,139.00,x,x,..,..,..,x,..
2Q1981,x,x,75170.00,103.30,x,..,151.00,x,x,..,..,..,x,..
3Q1981,x,x,89060.00,115.30,x,..,161.00,x,x,..,..,..,x,..
4Q1981,x,x,90560.00,116.30,x,..,163.00,x,x,..,..,..,x,..
1Q1982,x,x,90560.00,115.30,x,..,160.00,x,x,..,..,..,x,..
2Q1982,x,x,90560.00,115.30,x,..,162.00,x,x,..,..,..,x,..
3Q1982,x,x,99440.00,122.30,x,..,170.00,x,x,..,..,..,x,..
4Q1982,x,x,99440.00,122.30,x,..,170.00,x,x,..,..,..,x,..
1Q1983,x,x,93170.00,114.30,x,..,163.00,x,x,..,..,..,x,..
2Q1983,x,x,83500.00,107.30,x,..,151.00,x,x,..,..,..,x,..
3Q1983,x,x,78890.00,105.30,x,..,143.00,x,x,..,..,..,x,..
4Q1983,x,x,79440.00,105.30,x,..,149.00,x,x,..,..,..,x,..
1Q1984,x,x,77220.00,105.30,x,..,146.00,x,x,..,..,..,x,..
2Q1984,x,x,76110.00,103.30,x,..,142.00,x,x,..,..,..,x,..
3Q1984,x,x,76110.00,103.30,x,..,143.00,x,x,..,..,..,x,..
4Q1984,x,x,78110.00,105.30,x,..,149.00,x,x,..,..,..,x,..
1Q1985,x,x,76110.00,103.30,x,..,141.00,x,x,..,..,..,x,..
2Q1985,x,x,75560.00,102.30,x,..,145.00,x,x,..,..,..,x,..
3Q1985,x,x,75560.00,98.30,x,..,138.00,x,x,..,..,..,x,..
4Q1985,x,x,74610.00,98.30,x,..,139.00,x,x,..,..,..,x,..
1Q1986,x,x,66280.00,96.30,x,..,137.00,x,x,..,..,..,x,..
2Q1986,x,x,61110.00,88.30,x,..,128.00,x,x,..,..,..,x,..
3Q1986,x,x,57060.00,80.30,x,..,117.00,x,x,..,..,..,x,..
4Q1986,x,x,50170.00,75.30,x,..,114.00,x,x,..,..,..,x,..
1Q1987,x,x,44780.00,73.30,x,..,117.00,x,x,..,..,..,x,..
2Q1987,x,x,46700.00,74.30,x,..,124.00,x,x,..,..,..,x,..
3Q1987,x,x,45900.00,72.30,x,..,122.00,x,x,..,..,..,x,..
4Q1987,x,x,45900.00,72.30,x,..,121.00,x,x,..,..,..,x,..
1Q1988,x,x,38100.00,70.30,x,..,118.00,x,x,..,..,..,x,..
2Q1988,x,x,37000.00,69.30,x,..,116.00,x,x,..,..,..,x,..
3Q1988,x,x,36300.00,67.30,x,..,115.00,x,x,..,..,..,x,..
4Q1988,x,x,35700.00,67.30,x,..,115.00,x,x,..,..,..,x,..
1Q1989,x,x,34610.00,67.30,x,..,113.00,x,x,..,..,..,x,..
2Q1989,x,x,35650.00,66.53,x,..,116.00,x,x,..,..,..,x,..
3Q1989,x,x,36230.00,66.53,x,..,117.00,x,x,..,..,..,x,..
4Q1989,x,x,37770.00,66.53,x,..,117.00,x,x,..,..,..,x,..
1Q1990,x,x,40620.00,66.53,x,..,117.00,x,x,..,..,x,x,..
2Q1990,x,x,40620.00,67.56,x,..,117.00,x,x,..,..,x,x,..
3Q1990,x,x,44630.00,70.65,x,..,117.00,x,x,..,..,x,x,..
4Q1990,x,x,59170.00,83.01,x,..,132.00,x,x,..,..,x,x,..
1Q1991,x,x,53500.00,76.83,x,..,125.00,x,x,..,..,x,x,..
2Q1991,x,x,50530.00,74.77,x,..,123.00,x,x,..,..,x,x,..
3Q1991,x,x,50530.00,73.74,x,..,122.00,x,x,..,..,x,x,..
4Q1991,x,x,50530.00,73.74,x,..,122.00,x,x,..,..,x,x,..
1Q1992,x,x,50530.00,72.71,x,..,121.00,x,x,..,..,x,x,..
2Q1992,x,x,50530.00,72.71,x,..,119.00,x,x,..,..,x,x,..
3Q1992,x,x,50530.00,72.71,x,..,119.00,x,x,..,..,x,x,..
