,PRODUCT,Coal and coal products,Peat and peat products,Oil shale and oil sands,"Crude, NGL and feedstocks",Oil products,Natural gas,Nuclear,Hydro,Geothermal,Solar/wind/other,Biofuels and waste,Heat production from non-specified combustible fuels,Electricity,Heat,Total,Memo: Renewables,"Memo: Coal, peat and oil shale",Memo: Primary and secondary oil,"Memo: Geothermal, solar/wind/other, heat, electricity"
FLOW,TIME
International marine bunkers,1986,0,0,0,0,-6078,0,0,0,0,0,0,0,0,0,-6078,0,0,-6078,0
International marine bunkers,1987,0,0,0,0,-5457,0,0,0,0,0,0,0,0,0,-5457,0,0,-5457,0
International marine bunkers,1988,0,0,0,0,-4928,0,0,0,0,0,0,0,0,0,-4928,0,0,-4928,0
International marine bunkers,1989,0,0,0,0,-5136,0,0,0,0,0,0,0,0,0,-5136,0,0,-5136,0
International marine bunkers,1990,0,0,0,0,-5544,0,0,0,0,0,0,0,0,0,-5544,0,0,-5544,0
International marine bunkers,1991,0,0,0,0,-5847,0,0,0,0,0,0,0,0,0,-5847,0,0,-5847,0
International marine bunkers,1992,0,0,0,0,-5886,0,0,0,0,0,0,0,0,0,-5886,0,0,-5886,0
International marine bunkers,1993,0,0,0,0,-6604,0,0,0,0,0,0,0,0,0,-6604,0,0,-6604,0
International marine bunkers,1994,0,0,0,0,-6498,0,0,0,0,0,0,0,0,0,-6498,0,0,-6498,0
International marine bunkers,1995,0,0,0,0,-6137,0,0,0,0,0,0,0,0,0,-6137,0,0,-6137,0
International marine bunkers,1996,0,0,0,0,-3928,0,0,0,0,0,0,0,0,0,-3928,0,0,-3928,0
International marine bunkers,1997,0,0,0,0,-5107,0,0,0,0,0,0,0,0,0,-5107,0,0,-5107,0
International marine bunkers,1998,0,0,0,0,-5436,0,0,0,0,0,0,0,0,0,-5436,0,0,-5436,0
International marine bunkers,1999,0,0,0,0,-5151,0,0,0,0,0,0,0,0,0,-5151,0,0,-5151,0
International marine bunkers,2000,0,0,0,0,-5302,0,0,0,0,0,0,0,0,0,-5302,0,0,-5302,0
International marine bunkers,2001,0,0,0,0,-4579,0,0,0,0,0,0,0,0,0,-4579,0,0,-4579,0
International marine bunkers,2002,0,0,0,0,-4791,0,0,0,0,0,0,0,0,0,-4791,0,0,-4791,0
International marine bunkers,2003,0,0,0,0,-5276,0,0,0,0,0,0,0,0,0,-5276,0,0,-5276,0
International marine bunkers,2004,0,0,0,0,-5510,0,0,0,0,0,0,0,0,0,-5510,0,0,-5510,0
International marine bunkers,2005,0,0,0,0,-6195,0,0,0,0,0,0,0,0,0,-6195,0,0,-6195,0
International marine bunkers,2006,0,0,0,0,-5827,0,0,0,0,0,0,0,0,0,-5827,0,0,-5827,0
International marine bunkers,2007,0,0,0,0,-5833,0,0,0,0,0,0,0,0,0,-5833,0,0,-5833,0
International marine bunkers,2008,0,0,0,0,-5308,0,0,0,0,0,0,0,0,0,-5308,0,0,-5308,0
International marine bunkers,2009,0,0,0,0,-4719,0,0,0,0,0,0,0,0,0,-4719,0,0,-4719,0
International marine bunkers,2010,0,0,0,0,-4589,0,0,0,0,0,0,0,0,0,-4589,0,0,-4589,0
International marine bunkers,2011,0,0,0,0,-4104,0,0,0,0,0,0,0,0,0,-4104,0,0,-4104,0
International marine bunkers,2012,0,0,0,0,-4054,0,0,0,0,0,0,0,0,0,-4054,0,0,-4054,0
International marine bunkers,2013,0,0,0,0,-4005,0,0,0,0,0,0,0,0,0,-4005,0,0,-4005,0
